3月1日起 一批新规正式施行 一起来看看3月份 生活将有哪些不一样！          版权归原作者所有，如需转载请注明出处	明天起，一批新规正式施行。一起来看看3月份，生活将有哪些不一样！          来源：人民网、人民日报 编辑：陶瑞祥
沙溢、沈腾、杨洋，你知道这三位除了名字都是两个字，还有什么共同点吗？答案就是，都是中国人民解放军艺术学院毕业，只不过依次是戏剧系、表演系和舞蹈系。昨夜，沙溢在微博晒出自己的毕业照，配文“这不是校草啥是校草”。	沙溢、沈腾、杨洋，军艺三代“校草”梦幻联动，引来“大师哥”洪剑涛送上“有毒”祝福：三位师弟莫慌，未来可期，就这样！军艺的学生颜值高的确是不可争的事实：沙溢在《上错花轿嫁对郎》中饰演的“沙小将”，初进“开心麻花”沈腾，都是其中的佼佼者，就连洪剑涛年轻时，也是眉清目秀的小帅哥一枚。
这双手，网友直呼“心疼”！	这双手，网友直呼“心疼”！
时间再次提前！意大利一女子2019年11月已感染新冠病毒	意大利“零号病人”出现时间提前到2019年11月
市场监管总局：直播带货平台要建立消费投诉绿色通道	市场监管总局对提升直播带货平台产品质量开展行政指导
还记得去年的春天吗？那时候，四万多名医护人员奔赴湖北抗疫最前线那时节，樱花开得正好他们没时间看上一眼而是扛起救死扶伤的重任从病魔手里，抢救生命3月13日，来自各地的援鄂医护人员在武汉大学校园共赴樱花之约（无人机照片）。	3月10日，汉口的刘女士专程从家中赶到武汉大学中南医院，感谢曾尽心尽力救治她的医护人员，还通过视频邀请援鄂医生“来武汉看樱花”。在医护人员的帮助下，刘女士拨通了南方医科大学第三附属医院医生潘道延的视频电话。看到自己曾经救治的重症患者成功康复，潘道延医生开心得合不拢嘴。
《山河令》这部古装剧是我能看的吗！	前期《山河令》中尽情撒狗粮，后期”你叫长安，我叫故里“开虐
今天上午，有网友在知名企业信息查询软件“企查查”发现黑金娱乐的法人代表、知名歌手尚雯婕似乎惹上了麻烦，被限制了高消费，这是又一明星变成老赖了吗？	尚雯婕被限制高消费！超女出道，常被怒怼想红戏太多3月15日，有媒体报道称38岁知名女星尚雯婕被限制高消费。她所在的公司也因未按时履行法律义务，被法院强制执行两次。
新华社伊斯兰堡3月20日电（记者刘天）巴基斯坦负责国家卫生服务的总理特别助理费萨尔·苏丹20日在社交媒体上说，巴总理伊姆兰·汗当天新冠病毒检测呈阳性。据巴总理办公室透露，目前伊姆兰·汗只有轻微的咳嗽症状，正在私人住宅内自我隔离，并将通过视频会议形式处理公务。	当地时间3月20日，巴基斯坦负责国家卫生服务的总理特别助理费萨尔·苏丹在社交媒体表示，巴总理伊姆兰·汗当天新冠病毒检测呈阳性。
万众期待的“嘴炮”康纳·麦克格雷格被TKO了！  第二回合，2分32秒！“钻石”达斯汀·普瓦里尔一套组合拳，带走了嘴炮！这是嘴炮职业生涯中首次被人TKO终结！  钻石的胜利爆了大冷门！赛后感言上还说“要喝ProperNo.Twelve。” 不知嘴炮作何感想？对手喝着自己品牌的酒庆祝打败自己。	北京时间1月24日，UFC257压轴主赛，结果爆出大冷门！嘴炮本来占据优势，但“钻石”小腿低扫打开的局面，最终，嘴炮被击倒，赛后，他输得心服口服！中国UFC名将李景亮认为，嘴炮输在两个方面，第一，太久没比赛；第二，被“钻石”扫腿战术限制。 被重击输掉比赛后，嘴炮很长时间没有缓过劲来。可以说，这是“钻
不仅是家人，父亲的几个朋友也死在了日本兵的枪下。相较其他南京大屠杀幸存者，蔡丽华老人很晚才向侵华日军南京大屠杀遇难同胞纪念馆申请身份认证。	记者刚刚从侵华日军南京大屠杀遇难同胞纪念馆获悉，南京大屠杀幸存者蔡丽华于今日去世，享年95岁。蔡丽华老人是今年去世的第2位幸存者。目前经南京侵华日军受害者援助协会认证的在册在世的幸存者仅剩70位。
一条消息未发，袁隆平抖音粉丝一天内已超千万	真·顶流！一条消息未发，粉丝已破千万
中国天气网讯预计，今天(3月1日)早晨至上午，北京大部仍有小雪，中午前雨雪天气趋于结束。雨雪过后气温较低，今天最高气温5℃，夜间最低气温仅零下5℃。今天早晨至上午，北京大部仍有小雪。中午前雨雪天气趋于结束，雨雪过后气温较低。	北京市气象台今晨6时发布天气预报，预计，今天早晨至白天阴有小雪转多云，北转南风二三级，最高气温5℃；夜间多云间晴，南转北风一二级，最低气温零下5℃。
一季度第一产业增加值同比增长8.1%农业农村经济形势总体向好	【开新局】一季度全市农业农村经济实现良好开局
日前发布的魅族18/18Pro两款新机虽然全系2K/120Hz高刷屏，但并不支持2K和120Hz同时开启，也因此引起热议，近日魅族工程师进行了相关回应。	昨日魅族18系列发布后引起了不少的关注，此次魅族18系列可以说是堆料最为极致的一次，魅族18系列全系搭载一款2K分辨率全面屏，刷新率为120hz。有媒体上手后发现魅族18以及18Pro均不支持在2K模式下开启120hz刷新率。也就意味着魅族18系列仅能开启1080P120hz或者2K60hz。魅族
农村地区是当前疫情防控中的薄弱环节。疫情防控态势紧张，个人防护绝不能大意。在此，我们倡议↓↓↓           来源：央视新闻	农村地区是当前 疫情防控中的薄弱环节 疫情防控态势紧张 个人防护绝不能大意 在此，我们倡议 ↓↓↓          来源：央视新闻 审核/高步芳责编/王强编辑/杨茜
黑幕曝光，骑手跑腿买7道菜仅一道是真品！	骑手跑腿买7道菜仅一道是正品，账单也是假的，可怕新套路曝光
当地时间3月2日，巴西著名足球运动员贝利在家乡接种了由中国研制的新冠疫苗，并在自己的社交媒体账号上发布了一张竖起大拇指的照片。有“球王”之称的贝利现年80岁，他注射疫苗的当天，也是其所在城市为80-84岁老年人接种疫苗的第一天。当天贝利接种的是两剂疫苗中的第一剂。	当地时间3月2日，巴西著名足球运动员贝利在家乡接种了由中国研制的新冠疫苗，并在自己的社交媒体账号上发布了一张竖起大拇指的照片。有“球王”之称的贝利现年80岁，他注射疫苗的当天，也是其所在城市为80~84岁老年人接种疫苗的第一天。当天贝利接种的是两剂疫苗中的第一剂。
综艺：林更新被男生公主抱，撒娇大喊：你把人家转晕了！	综艺：林更新被男生公主抱，撒娇大喊：你把人家转晕了！
港股15日涨0.33%收报28833.76点	港股15日涨0.33%收报28833.76点
教大家强制下载钉钉直播回放的视频	钉钉的直播回放视频强制下载的软件
综艺：选手看着普普通通，却一口段子！冯小刚：你适合做导演！	综艺：选手看着普普通通，却一口段子！冯小刚：你适合做导演！
证券时报e公司讯，中原环保(000544)3月18日晚公告，公司与河南五建城乡建设发展有限公司组成的联合体为安阳县（示范区）生态走廊（一期）PPP项目中标单位，项目总投资10.34亿元，合作期限17年。	证券时报e公司讯，中原环保(000544)3月18日晚公告，公司与河南五建城乡建设发展有限公司组成的联合体为安阳县（示范区）生态走廊（一期）PPP项目中标单位，项目总投资10.34亿元，合作期限17年。
4399起，魅族18系列发布！搭载0广0推0预装Flyme9纯净系统	4399起魅族18系列发布！搭载0广0推0预装Flyme9纯净系统
共104种！广东和三省一市实现电子证照共享互认	广东和三省一市实现电子证照共享互认，共104种！
近日，娱乐圈的瓜真的是一个比一个大，在郑爽代孕弃养一事登上热搜之后，明星们也都纷纷站出来辟谣了，尤其是张雨绮，曾经被质疑代孕生了龙凤胎，而霸气火爆的张雨绮在登上热搜后，也是第一时间晒出了辟谣证明，坦言老娘就是自己生的，若是黑子们再敢胡说八道，那么就用一纸告状把他们告上法庭。  不仅是张雨绮，就连赵	文/煮娱君 最近，提及娱乐圈，很多人也知道一点，那就是，郑爽的事情很是火热。因为，这样的事情背后，涉及到代孕这样的敏感话题。这样的话题，是很特殊的话题。或者说，是不适合谈论的话题。毕竟，这是违法之举。 虽然，郑爽的代孕是在国外，但是，她毕竟是中国人。所以，新华社等很多官媒，都是无情地给出了批评。甚
北京雨雪【牛年以来北京最明显降水过程来袭今夜为降水核心时段】今天（2月28日）至3月1日，北京牛年以来最明显降水过程来袭，其中今夜为降水的核心时段，随着气温下降，还存在转雪的可能性。由于持续时间较长，对明天早高峰可能造成影响，公众需谨慎慢行，注意交通安全。	北京雨雪【牛年以来北京最明显降水过程来袭今夜为降水核心时段】今天（2月28日）至3月1日，北京牛年以来最明显降水过程来袭，其中今夜为降水的核心时段，随着气温下降，还存在转雪的可能性。由于持续时间较长，对明天早高峰可能造成影响，公众需谨慎慢行，注意交通安全。
民航局航安办副主任吴世杰表示，针对近期东海航空机组空中纠纷事件，民航局高度重视，民航中南地区管理局第一时间成立专项调查组，开展调查工作。对涉事机长撤销航线运输驾驶员执照权利和商用驾驶员执照权利。民航局和中南地区管理局将依据持续督导检查情况，对相关单位和责任人员进一步严肃问责。	【民航局通报东海航空处理结果：暂停新增航线，机长执照被撤】3月15日，中国民航局召开新闻发布会，会上对东海航空事件进行了通报。民航局航安办副主任吴世杰表示，目前，民航相关调查工作已基本完成。
